graph,order,size,time,iterations,error,technique,min_compute
"min-2SCC","8","12","0.944","40","0","pagerankComponentwiseCudaL1Norm","50000"
"min-2SCC","8","12","0.944","40","0","pagerankComponentwiseCudaL1Norm","100000"
"min-2SCC","8","12","0.929","40","0","pagerankComponentwiseCudaL1Norm","500000"
"min-2SCC","8","12","0.944","40","0","pagerankComponentwiseCudaL1Norm","1000000"
"min-2SCC","8","12","0.946","40","0","pagerankComponentwiseCudaL1Norm","5000000"
"min-2SCC","8","12","0.944","40","0","pagerankComponentwiseCudaL1Norm","10000000"
"min-2SCC","8","12","0.947","40","0","pagerankComponentwiseCudaL1Norm","50000000"
"min-2SCC","8","12","0.899","38","0.0000014603","pagerankMonolithicCudaL2Norm","0"
"min-2SCC","8","12","2.558","44","0.0000036284","pagerankComponentwiseCudaL2Norm","1"
"min-2SCC","8","12","0.823","38","0.0000014603","pagerankComponentwiseCudaL2Norm","5"
"min-2SCC","8","12","0.909","38","0.0000014603","pagerankComponentwiseCudaL2Norm","10"
"min-2SCC","8","12","0.909","38","0.0000014603","pagerankComponentwiseCudaL2Norm","50"
"min-2SCC","8","12","0.906","38","0.0000014603","pagerankComponentwiseCudaL2Norm","100"
"min-2SCC","8","12","0.91","38","0.0000014603","pagerankComponentwiseCudaL2Norm","500"
"min-2SCC","8","12","0.907","38","0.0000014603","pagerankComponentwiseCudaL2Norm","1000"
"min-2SCC","8","12","0.912","38","0.0000014603","pagerankComponentwiseCudaL2Norm","5000"
"min-2SCC","8","12","0.911","38","0.0000014603","pagerankComponentwiseCudaL2Norm","10000"
"min-2SCC","8","12","0.899","38","0.0000014603","pagerankComponentwiseCudaL2Norm","50000"
"min-2SCC","8","12","0.915","38","0.0000014603","pagerankComponentwiseCudaL2Norm","100000"
"min-2SCC","8","12","0.911","38","0.0000014603","pagerankComponentwiseCudaL2Norm","500000"
"min-2SCC","8","12","0.909","38","0.0000014603","pagerankComponentwiseCudaL2Norm","1000000"
"min-2SCC","8","12","0.909","38","0.0000014603","pagerankComponentwiseCudaL2Norm","5000000"
"min-2SCC","8","12","0.917","38","0.0000014603","pagerankComponentwiseCudaL2Norm","10000000"
"min-2SCC","8","12","0.903","38","0.0000014603","pagerankComponentwiseCudaL2Norm","50000000"
"min-2SCC","8","12","0.885","37","0.0000011474","pagerankMonolithicCudaLiNorm","0"
"min-2SCC","8","12","1.937","40","0.000017345","pagerankComponentwiseCudaLiNorm","1"
"min-2SCC","8","12","0.889","37","0.0000011474","pagerankComponentwiseCudaLiNorm","5"
"min-2SCC","8","12","0.889","37","0.0000011474","pagerankComponentwiseCudaLiNorm","10"
"min-2SCC","8","12","0.883","37","0.0000011474","pagerankComponentwiseCudaLiNorm","50"
"min-2SCC","8","12","0.882","37","0.0000011474","pagerankComponentwiseCudaLiNorm","100"
"min-2SCC","8","12","0.888","37","0.0000011474","pagerankComponentwiseCudaLiNorm","500"
"min-2SCC","8","12","0.888","37","0.0000011474","pagerankComponentwiseCudaLiNorm","1000"
"min-2SCC","8","12","0.883","37","0.0000011474","pagerankComponentwiseCudaLiNorm","5000"
"min-2SCC","8","12","0.88","37","0.0000011474","pagerankComponentwiseCudaLiNorm","10000"
